"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","::1","::1","PGSQL","259",">Q"
"2","0.000156","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=1 Ack=196 Win=8250 Len=0"
"3","0.001100","::1","::1","UDP","340","49667  >  49667 Len=288"
"4","0.001304","::1","::1","PGSQL","115","<T/C/Z"
"5","0.001467","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=196 Ack=52 Win=8396 Len=0"
"6","5.048385","::1","::1","PGSQL","259",">Q"
"7","5.048636","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=52 Ack=391 Win=8249 Len=0"
"8","5.049702","::1","::1","UDP","340","49667  >  49667 Len=288"
"9","5.049918","::1","::1","PGSQL","115","<T/C/Z"
"10","5.050034","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=391 Ack=103 Win=8395 Len=0"
"11","10.114446","::1","::1","PGSQL","259",">Q"
"12","10.114615","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=103 Ack=586 Win=8248 Len=0"
"13","10.115823","::1","::1","UDP","340","49667  >  49667 Len=288"
"14","10.116093","::1","::1","PGSQL","115","<T/C/Z"
"15","10.116237","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=586 Ack=154 Win=8395 Len=0"
"16","15.168888","::1","::1","PGSQL","259",">Q"
"17","15.169120","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=154 Ack=781 Win=8247 Len=0"
"18","15.170705","::1","::1","UDP","340","49667  >  49667 Len=288"
"19","15.171006","::1","::1","PGSQL","115","<T/C/Z"
"20","15.171202","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=781 Ack=205 Win=8395 Len=0"
"21","20.212460","::1","::1","PGSQL","259",">Q"
"22","20.212610","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=205 Ack=976 Win=8246 Len=0"
"23","20.213556","::1","::1","UDP","340","49667  >  49667 Len=288"
"24","20.213752","::1","::1","PGSQL","115","<T/C/Z"
"25","20.213852","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=976 Ack=256 Win=8395 Len=0"
"26","25.244086","::1","::1","PGSQL","259",">Q"
"27","25.244223","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=256 Ack=1171 Win=8246 Len=0"
"28","25.245078","::1","::1","UDP","340","49667  >  49667 Len=288"
"29","25.245311","::1","::1","PGSQL","115","<T/C/Z"
"30","25.245417","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=1171 Ack=307 Win=8395 Len=0"
"31","30.299748","::1","::1","PGSQL","259",">Q"
"32","30.299914","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=307 Ack=1366 Win=8245 Len=0"
"33","30.300847","::1","::1","UDP","340","49667  >  49667 Len=288"
"34","30.301058","::1","::1","PGSQL","115","<T/C/Z"
"35","30.301196","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=1366 Ack=358 Win=8394 Len=0"
"36","35.370116","::1","::1","PGSQL","259",">Q"
"37","35.370274","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=358 Ack=1561 Win=8244 Len=0"
"38","35.371368","::1","::1","UDP","340","49667  >  49667 Len=288"
"39","35.371593","::1","::1","PGSQL","115","<T/C/Z"
"40","35.371713","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=1561 Ack=409 Win=8394 Len=0"
"41","40.416015","::1","::1","PGSQL","259",">Q"
"42","40.416184","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=409 Ack=1756 Win=8243 Len=0"
"43","40.417033","::1","::1","UDP","340","49667  >  49667 Len=288"
"44","40.417201","::1","::1","PGSQL","115","<T/C/Z"
"45","40.417300","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=1756 Ack=460 Win=8394 Len=0"
"46","45.468855","::1","::1","PGSQL","259",">Q"
"47","45.469044","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=460 Ack=1951 Win=8243 Len=0"
"48","45.470178","::1","::1","UDP","340","49667  >  49667 Len=288"
"49","45.470443","::1","::1","PGSQL","115","<T/C/Z"
"50","45.470570","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=1951 Ack=511 Win=8394 Len=0"
"51","50.513973","::1","::1","PGSQL","259",">Q"
"52","50.514120","::1","::1","TCP","64","5432  >  49674 [ACK] Seq=511 Ack=2146 Win=8242 Len=0"
"53","50.515162","::1","::1","UDP","340","49667  >  49667 Len=288"
"54","50.515403","::1","::1","PGSQL","115","<T/C/Z"
"55","50.515523","::1","::1","TCP","64","49674  >  5432 [ACK] Seq=2146 Ack=562 Win=8394 Len=0"
"56","52.718511","::1","::1","UDP","84","49667  >  49667 Len=32"
"57","52.918675","::1","::1","UDP","76","49667  >  49667 Len=24"
"58","52.926219","::1","::1","UDP","84","49667  >  49667 Len=32"
"59","52.970980","::1","::1","UDP","1012","49667  >  49667 Len=960"
"60","52.971046","::1","::1","UDP","452","49667  >  49667 Len=400"
"61","52.971094","::1","::1","UDP","564","49667  >  49667 Len=512"
"62","55.547492","::1","::1","PGSQL","259",">Q"
