"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","1.38.110.47","10.0.0.4","ICMP","76","Echo (ping) request  id=0x8100, seq=1512/59397, ttl=239 (reply in 2)"
"2","0.000041213","10.0.0.4","1.38.110.47","ICMP","76","Echo (ping) reply    id=0x8100, seq=1512/59397, ttl=64 (request in 1)"
"3","1.040231429","1.38.110.47","10.0.0.4","ICMP","76","Echo (ping) request  id=0x8100, seq=1513/59653, ttl=239 (reply in 4)"
"4","1.040269567","10.0.0.4","1.38.110.47","ICMP","76","Echo (ping) reply    id=0x8100, seq=1513/59653, ttl=64 (request in 3)"
"5","2.039894645","1.38.110.47","10.0.0.4","ICMP","76","Echo (ping) request  id=0x8100, seq=1514/59909, ttl=239 (reply in 6)"
"6","2.039937193","10.0.0.4","1.38.110.47","ICMP","76","Echo (ping) reply    id=0x8100, seq=1514/59909, ttl=64 (request in 5)"
"7","3.120148312","1.38.110.47","10.0.0.4","ICMP","76","Echo (ping) request  id=0x8100, seq=1515/60165, ttl=239 (reply in 8)"
"8","3.120188138","10.0.0.4","1.38.110.47","ICMP","76","Echo (ping) reply    id=0x8100, seq=1515/60165, ttl=64 (request in 7)"
"9","5.020511437","1.38.110.47","10.0.0.4","ICMP","76","Echo (ping) request  id=0x8100, seq=1516/60421, ttl=239 (reply in 10)"
"10","5.020552595","10.0.0.4","1.38.110.47","ICMP","76","Echo (ping) reply    id=0x8100, seq=1516/60421, ttl=64 (request in 9)"
