Duration,Received echo requests,Attack
266.938, 288725, 1
378.741, 408071, 1
217.263, 237209, 1
392.547, 446280, 1
170.699, 199199, 1
476.513, 531585, 1
266.944, 217343, 1
378.757, 314250, 1
217.261, 185892, 1
392.532, 330167, 1
170.706, 147958, 1
476.516, 421287, 1
350.758, 312054, 1
388.27, 346132, 1
418.261, 378824, 1
159.126, 141705, 1
200.716, 180417, 1
269.351, 248162, 1
273.843, 266316, 1
79.7019, 104215, 1
255.113, 318044, 1
47.3913, 54304, 1
119.327, 146796, 1
138.367, 170282, 1
433.171, 494661, 1
458.94, 489904, 1
227.914, 219873, 1
170.846, 164949, 1
438.981, 425386, 1
33.8785, 32901, 1
207.982, 203316, 1
207.226, 200582, 1
139.549, 135829, 1
68.5899, 65873, 1
489.17, 473106, 1
277.168, 259411, 1
127.554, 122419, 1
451.432, 423072, 1
17.1836, 16173, 1
43.6218, 41448, 1
41.6346, 40038, 1
105.921, 96199, 1
429, 373495, 1
220.312, 203766, 1
270.866, 214161, 1
499.497, 479324, 1
438.376, 426006, 1
144.299, 140285, 1
415.717, 405556, 1
268.24, 259790, 1
352.883, 345372, 1
251.429, 245493, 1
80.9308, 78923, 1
61.3966, 60256, 1
1.67734, 1516, 1
471.495, 455852, 1
225.192, 208739, 1
60.3421, 56926, 1
459.143, 428378, 1
269.43, 265337, 1
342.637, 332144, 1
345.037, 335846, 1
253.736, 247145, 1
430.134, 335502, 1
142.745, 139831, 1
188.349, 187034, 1
435.129, 370136, 1
175.765, 121271, 1
130.755, 89287, 1
466.63, 319463, 1
231.255, 184677, 1
171.933, 140970, 1
36.574, 30672, 1
32.6192, 26900, 1
403.49, 334891, 1
455.51, 372199, 1
128.117, 104077, 1
338.412, 279350, 1
376.701, 302714, 1
155.047, 124271, 1
431.368, 360238, 1
157.723, 130069, 1
34.5461, 28690, 1
67.8297, 54619, 1
93.5936, 79185, 1
219.655, 181486, 1
288.357, 238205, 1
155.187, 127251, 1
124.101, 104058, 1
223.257, 178525, 1
82.0056, 64832, 1
100.308, 87347, 1
427.517, 360798, 1
443.762, 380614, 1
81.3517, 68092, 1
426.675, 344513, 1
217.778, 144206, 1
